Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.45560008,1499.0,36.609417,0.0,0.0,41.391167,0.037319526,9.9932495e-06,1.0
20000,0.31008855,1499.0,31.993711,0.0,0.0,28.098938,0.04929603,9.98425e-06,1.0
30000,0.2695955,1499.0,28.705729,0.0,0.0,22.766384,0.049058788,9.975251e-06,1.0
40000,0.25667867,1499.0,25.71863,0.0,0.0,18.298286,0.04758636,9.96625e-06,1.0
50000,0.3055137,1499.0,23.521982,0.0,0.0,15.010993,0.047875542,9.955e-06,1.0
60000,0.31899294,1499.0,21.375244,0.0,0.0,12.037028,0.044224914,9.94375e-06,1.0
70000,0.3292648,1499.0,19.07609,0.0,0.0,9.700178,0.049027257,9.934751e-06,1.0
80000,0.34076068,1499.0,17.210428,0.0,0.0,7.8870316,0.051078685,9.92575e-06,1.0
90000,0.32742515,1499.0,15.8663435,0.0,0.0,6.876404,0.049296726,9.91675e-06,1.0
100000,0.34467927,1499.0,14.762644,0.0,0.0,5.7006187,0.04993243,9.9055005e-06,1.0
110000,0.37955552,1499.0,13.5472555,0.0,0.0,4.707012,0.04904425,9.894251e-06,1.0
120000,0.3597774,1499.0,12.677817,0.0,0.0,4.15164,0.049885623,9.885251e-06,1.0
130000,0.30462322,1499.0,11.952857,0.0,0.0,3.6892467,0.05178512,9.87625e-06,1.0
140000,0.24285612,1499.0,11.258104,0.0,0.0,3.2169533,0.048307467,9.865002e-06,1.0
150000,0.16874285,1499.0,10.392741,0.0,0.0,2.6723127,0.04862771,9.853751e-06,1.0
160000,0.1586006,1499.0,9.611549,0.0,0.0,2.3244216,0.050627872,9.844753e-06,1.0
170000,0.12582771,1499.0,8.861108,0.0,0.0,1.9615862,0.046941753,9.835752e-06,1.0
180000,0.20418198,1499.0,8.321195,0.0,0.0,1.7191141,0.049430583,9.826752e-06,1.0
190000,0.21151644,1499.0,7.787892,0.0,0.0,1.4817734,0.048345882,9.815502e-06,1.0
200000,0.27160102,1499.0,7.1726155,0.0,0.0,1.217126,0.04880126,9.804251e-06,1.0
210000,0.29992184,1499.0,6.750393,0.0,0.0,1.0874456,0.052541833,9.795252e-06,1.0
220000,0.28510922,1499.0,6.381194,0.0,0.0,0.950425,0.046875626,9.786252e-06,1.0
230000,0.20158593,1499.0,5.7540174,0.0,0.0,0.78042346,0.046005547,9.775003e-06,1.0
240000,0.17093854,1499.0,4.712231,0.0,0.0,0.4750411,0.046222765,9.763753e-06,1.0
250000,0.1357808,1023.8,5.1098037,0.5000000357627868,0.5000000357627868,0.73106813,0.049588352,9.754628e-06,1.0
260000,0.049616866,1307.5,4.4848785,0.6250000894069672,0.6250000894069672,0.6615745,0.048572853,9.744661e-06,1.0
270000,0.05017885,1427.5714285714287,3.3184178,0.1285714336803981,0.1285714336803981,0.27265754,0.052514836,9.734536e-06,1.0
280000,0.3404993,381.6,2.9364824,0.7400001096725464,0.7400001096725464,0.28556105,0.0475372,9.725605e-06,1.0
290000,0.49145347,504.85,2.3332984,0.8000000953674317,0.8000000953674317,0.16091903,0.052938942,9.714621e-06,1.0
300000,0.40276092,523.578947368421,1.8721361,0.8736842964824877,0.8736842964824877,0.07789203,0.050084934,9.7034035e-06,1.0
310000,0.48881236,558.2222222222222,1.4118183,0.7611112097899119,0.7611112097899119,0.03270082,0.046884544,9.694198e-06,1.0
320000,0.41154143,544.6315789473684,1.0507334,0.8000000872110066,0.8000000872110066,0.013842978,0.049696144,9.684931e-06,1.0
330000,0.4310565,407.69565217391306,0.75246656,0.8000000870746115,0.8000000870746115,0.0062243934,0.052124556,9.67648e-06,1.0
340000,0.47326356,432.3478260869565,0.47769257,0.8000001026236493,0.8000001026236493,0.0020687997,0.05231383,9.665621e-06,1.0
350000,0.5386215,421.9166666666667,0.3556465,0.8000001137455305,0.8000001137455305,0.0008341846,0.048979513,9.655079e-06,1.0
360000,0.53786176,419.8333333333333,0.2881904,0.8000001112620035,0.8000001112620035,0.0007475016,0.049592942,9.646256e-06,1.0
370000,0.52871656,399.6666666666667,0.29616404,0.8000001112620035,0.8000001112620035,0.0015285024,0.046979714,9.635401e-06,1.0
380000,0.5214816,378.037037037037,0.29686874,0.8000001112620035,0.8000001112620035,0.0019395679,0.048531823,9.62478e-06,1.0
390000,0.5051393,361.3333333333333,0.24286872,0.800000133337798,0.800000133337798,0.002428564,0.046558253,9.616439e-06,1.0
400000,0.49781483,354.17241379310343,0.25437874,0.8000001352408836,0.8000001352408836,0.0018705996,0.05066361,9.605683e-06,1.0
410000,0.49400663,347.2142857142857,0.2763628,0.8000001204865319,0.8000001204865319,0.0018820005,0.04572935,9.5951145e-06,1.0
420000,0.49607798,347.2758620689655,0.2412282,0.8000001393515488,0.8000001393515488,0.0017681973,0.046794217,9.584655e-06,1.0
430000,0.5333769,339.2413793103448,0.20133847,0.8000001229088882,0.8000001229088882,0.0019199088,0.045413125,9.574197e-06,1.0
440000,0.50910425,340.6666666666667,0.24903727,0.8000001112620035,0.8000001112620035,0.0020756344,0.046718404,9.565772e-06,1.0
450000,0.52816707,338.0689655172414,0.3105095,0.8482759841557207,0.8482759841557207,0.0032466913,0.046450425,9.554901e-06,1.0
460000,0.5511025,342.0,0.30405787,0.9379311573916468,0.9379311573916468,0.005851339,0.045357376,9.5440555e-06,1.0
470000,0.6452501,338.53333333333336,0.3175558,1.4533334453900655,1.4533334453900655,0.0123350695,0.047558375,9.5356645e-06,1.0
480000,0.6724647,336.37931034482756,0.41216254,1.6000001204424892,1.6000001204424892,0.012970035,0.049488705,9.52497e-06,1.0
490000,0.69771963,337.3333333333333,0.4427565,1.8666667620340982,1.8666667620340982,0.009761224,0.04478327,9.514017e-06,1.0
500000,0.7620022,336.1666666666667,0.5486534,1.933333432674408,1.933333432674408,0.0051084235,0.04717853,9.505224e-06,1.0
510000,0.76781535,338.55172413793105,0.50065714,1.9862070001404861,1.9862070001404861,0.0060853236,0.04831672,9.494474e-06,1.0
520000,0.75921243,334.06666666666666,0.5648685,1.9133334358533223,1.9133334358533223,0.005971471,0.04934998,9.483634e-06,1.0
530000,0.80217284,334.53333333333336,0.5902327,2.080000106493632,2.080000106493632,0.0025945378,0.045534108,9.474927e-06,1.0
540000,0.7818769,334.0344827586207,0.6233137,2.010344916376574,2.010344916376574,0.006033697,0.04913539,9.466191e-06,1.0
550000,0.7975148,335.23333333333335,0.5827523,1.9466667811075846,1.9466667811075846,0.0041671004,0.049142122,9.455297e-06,1.0
560000,0.76051706,333.4,0.62205595,2.0233334223429362,2.0233334223429362,0.006212157,0.049516626,9.444389e-06,1.0
570000,0.7096593,335.1666666666667,0.55018234,2.130000114440918,2.130000114440918,0.003474893,0.050659753,9.435624e-06,1.0
580000,0.71834517,334.0,0.5440662,1.9166667739550272,1.9166667739550272,0.0074810735,0.04564209,9.424758e-06,1.0
590000,0.70009226,333.43333333333334,0.6469077,2.073333458105723,2.073333458105723,0.005888086,0.048010886,9.4138895e-06,1.0
600000,0.76082534,334.0689655172414,0.6318632,2.1000001101658263,2.1000001101658263,0.0039233416,0.04502949,9.405192e-06,1.0
610000,0.7961586,336.2,0.59016705,2.026666804154714,2.026666804154714,0.0048909755,0.049228773,9.396451e-06,1.0
620000,0.81984055,333.3333333333333,0.5744501,2.1133334755897524,2.1133334755897524,0.00585259,0.04751322,9.385535e-06,1.0
630000,0.80887425,399.8,0.64121187,1.9360001373291016,1.9360001373291016,0.008652867,0.051012967,9.375017e-06,1.0
640000,0.77164596,354.35714285714283,0.6326062,2.0892858675548007,2.0892858675548007,0.007870845,0.049519747,9.36468e-06,1.0
650000,0.75807244,355.5357142857143,0.62545127,2.064285857336862,2.064285857336862,0.0069217663,0.045860637,9.354309e-06,1.0
660000,0.71853024,360.92857142857144,0.5683908,2.0214286851031438,2.0214286851031438,0.008939632,0.045931168,9.345751e-06,1.0
670000,0.6637773,352.5357142857143,0.58687353,2.103571598018919,2.103571598018919,0.0065997206,0.046203177,9.335091e-06,1.0
680000,0.5689672,337.8333333333333,0.6458256,2.07000013589859,2.07000013589859,0.0042104563,0.04578212,9.324242e-06,1.0
690000,0.6243469,379.84615384615387,0.6544619,2.003846273972438,2.003846273972438,0.0060390476,0.045647554,9.315492e-06,1.0
700000,0.5967239,334.03333333333336,0.62558705,2.173333501815796,2.173333501815796,0.0064722733,0.049312264,9.304765e-06,1.0
